t1,t2,colony,num_cells1,num_cells2,method,tp,fp,tn,fn,acc,f1,timediff
96,100,240102_30C_fig_SW182_01,36,37,gcn,35,1,1296,0,0.9992492492492493,0.9859154929577465,20
16,17,240102_30C_fig_SW182_01,9,10,gcn,8,1,81,0,0.9888888888888889,0.9411764705882353,5
66,68,240102_30C_fig_SW182_01,21,21,gcn,21,0,420,0,1.0,1.0,10
55,59,240102_30C_fig_SW182_01,17,18,gcn,16,1,289,0,0.9967320261437909,0.9696969696969697,20
70,72,240102_30C_fig_SW182_01,22,25,gcn,18,3,529,0,0.9945454545454545,0.9230769230769231,10
44,46,240102_30C_fig_SX387_05,7,8,gcn,6,1,49,0,0.9821428571428571,0.9230769230769231,10
84,87,240102_30C_fig_SX387_03,41,44,gcn,38,0,1766,0,1.0,1.0,15
7,10,240102_30C_fig_SX387_05,3,4,gcn,2,0,10,0,1.0,1.0,15
109,113,240102_30C_fig_SX387_03,51,53,gcn,49,2,2652,0,0.9992600813910469,0.98,20
111,113,240102_30C_fig_SX387_05,17,17,gcn,17,0,272,0,1.0,1.0,10
40,42,240102_30C_fig_SW182_01,14,15,gcn,13,1,196,0,0.9952380952380953,0.9629629629629629,10
71,72,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,5
53,57,240102_30C_fig_SW182_01,17,17,gcn,17,0,272,0,1.0,1.0,20
9,11,240102_30C_fig_SX387_03,12,12,gcn,12,0,132,0,1.0,1.0,10
71,74,240102_30C_fig_SW182_01,23,26,gcn,20,3,575,0,0.9949832775919732,0.9302325581395349,15
51,53,240102_30C_fig_SX387_05,9,8,gcn,8,0,64,0,1.0,1.0,10
71,73,240102_30C_fig_SX387_01,40,40,gcn,40,0,1560,0,1.0,1.0,10
111,112,240102_30C_fig_SW182_01,41,44,gcn,38,2,1764,0,0.9988913525498891,0.9743589743589743,5
101,104,240102_30C_fig_SX387_03,47,48,gcn,46,0,2210,0,1.0,1.0,15
20,21,240102_30C_fig_SX387_03,12,12,gcn,12,0,132,0,1.0,1.0,5
59,61,240102_30C_fig_SX387_01,37,37,gcn,37,0,1332,0,1.0,1.0,10
